numberArgument,numberAdvocate,nameAdvocate,homeAdvocate,selfAdvocate,argsAdvocate,dateArgument,isReargument,caseInfo,citeInfo,corrections
1,1,"Belva Ann Lockwood","Washington, DC",false,1,"1880-11-30",false,"Kaiser v. Stickney (No. 90), 131 U.S. app. clxxxvii, 102 U.S. 176 (1880)","Minutes of the Supreme Court, Oct. 20, 1880-Nov. 14, 1882, Microfilm M215, Roll No. 14",""
2,1,"Belva Ann Lockwood","",false,2,"1906-01-17,1906-01-18",false,"United States v. Cherokee Nation (No. 346), 202 U.S. 101 (1906)","1905 J. Sup. Ct. U.S. 98-99",""
3,2,"Lyda Burton Conley","Kansas City, Kansas",true,1,"1910-01-14",false,"Conley v. Ballinger (No. 77), 216 U.S. 84 (1910)","1909 J. Sup. Ct. U.S. 90",""
4,3,"Ellen Spencer Mussey","Washington, DC",false,1,"1913-03-12",false,"Shelton v. King (No. 180), 229 U.S. 90 (1913)","1912 J. Sup. Ct. U.S. 151",""
5,4,"Sarah Herring Sorin","Tucson, AZ",false,1,"1913-11-06",false,"Work v. United Globe Mines (No. 46), 231 U.S. 595 (1914)","1913 J. Sup. Ct. U.S. 43",""
6,5,"Mary O'Toole","Washington, DC",false,1,"1920-01-23",false,"Houston v. Ormes (No. 86), 252 U.S. 469 (1920)","1919 J. Sup. Ct. U.S. 131",""
7,6,"Helen Z. M. Rodgers","Buffalo, NY",false,1,"1920-10-12",false,"Int'l Bridge Co. v. New York (No. 46), 252 U.S. 126 (1920)","1920 J. Sup. Ct. U.S. 30",""
8,7,"Mary L. Greer Conklin","Washington, D.C.",true,1,"1920-10-12",false,"Conklin v. Conklin (No. 192) & Conklin v. Augusta Chronicle Pub. Co. (No. 353), 254 U.S. 608 (1920)","1920 J. Sup. Ct. U.S. 30",""
9,8,"Annette Abbott Adams","Ass't Attorney General",false,1,"1920-11-12",false,"United States v. Northern Pacific R.R. (No. 88), 254 U.S. 251 (1920)","1920 J. Sup. Ct. U.S. 62",""
10,8,"Annette Abbott Adams","",false,2,"1920-12-08",false,"J.W. Goldsmith, Jr. v. U.S. (No. 214), 254 U.S. 505 (1921)","1920 J. Sup. Ct. U.S. 88",""
11,8,"Annette Abbott Adams","",false,3,"1921-03-10",false,"United States v. Yuginovich (No. 523), 256 U.S. 450 (1921)","1920 J. Sup. Ct. U.S. 176",""
12,8,"Annette Abbott Adams","",false,4,"1921-03-22",false,"Dillon v. Gloss (No. 251), 256 U.S. 368 (1921)","1920 J. Sup. Ct. U.S. 193",""
13,9,"Mabel Walker Willebrandt","Ass't Attorney General",false,1,"1921-12-15",false,"Corneli v. Moore (No. 175), 257 U.S. 491 (1922)","1920 J. Sup. Ct. U.S. 107",""
